"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"78492","PHOENIX","SUNDANCE PLANT","MQ","DPQ","D","210000","210000","5000","205000","N","N","N","Y",""
"100774","PHOENIX","SWG Agua Fria","MQ","DPQ","D","18000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"79061","PHOENIX","SWG JOMAX","MQ","DPQ","D","25900","24900","1662","23238","N","N","N","Y",""
"100787","CENTRAL","Shadow Fuel","MQ","DPQ","D","800","5000","789","4211","Y","N","N","Y",""
"500293","CENTRAL","TARGA AID STATE #1","M2","RPQ","R","35000","52000","0","52000","N","N","N","Y",""
"100739","WEST TEXAS","TARGA DK BOYD FUEL","MQ","DPQ","D","3800","4000","2625","1375","Y","N","N","Y",""
"78308","CENTRAL","TARGA DODD","M2","RPQ","R","20000","20000","0","20000","N","N","N","Y",""
"79073","WEST TEXAS","TARGA ENERGY OUTRIGGER","M2","RPQ","R","60000","60000","0","60000","N","N","N","Y",""
"79074","WEST TEXAS","TARGA FUEL","MQ","DPQ","D","5000","5000","0","5000","N","N","N","Y",""
"78395","CENTRAL","TARGA HARD STICK","M2","RPQ","R","0","40000","0","40000","N","N","N","Y",""
"500655","CENTRAL","TARGA LEC CROSSOVER","M2","RPQ","R","35000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"55152","WEST TEXAS","TARGA LIVINGSTON RIDGE CDP","M2","RPQ","R","12000","1000","0","1000","N","N","N","Y",""
"500303","CENTRAL","TARGA RIO PECOS","M2","RPQ","R","55000","30000","0","30000","N","N","N","Y",""
"79028","WEST TEXAS","TARGA ROJO BANCO","M2","RPQ","R","475000","475000","345594","129406","Y","N","N","Y",""
"500657","WEST TEXAS","TARGA SHUGART LATERAL TAP #2 OF 4","M2","RPQ","R","15000","15000","0","15000","N","N","N","Y",""
"500232","CENTRAL","TARGA STATE 27","M2","RPQ","R","500","1000","0","1000","N","N","N","Y",""
"500228","PANHANDLE","TGC BRILLHART","M2","RPQ","R","5000","5000","0","5000","N","N","N","Y",""
"13239","PANHANDLE","THAD M OSBORNE FARM TAP","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"500529","W. THOREAU","THORNTON FARM TAP","MQ","DPQ","D","1000","2000","0","2000","N","N","N","Y",""
"100726","PANHANDLE","TKO HANSFORD","MQ","DPQ","D","2500","2500","0","2500","N","N","N","Y",""
"79026","PANHANDLE","TKO WILLIAMS","MQ","DPQ","D","1600","1600","16","1584","N","N","N","Y",""
"100718","WEST TEXAS","TRANS PECOS I/C","MQ","DPQ","D","500000","500000","43045","456955","N","N","N","Y",""
"79031","PANHANDLE","TURKEY TRACK","MQ","DPQ","D","500","500","0","500","N","N","N","Y",""
"13335","PANHANDLE","TW (CABOT) RANDALL CO COUNTRY CLUB","MQ","DPQ","D","5000","5000","28","4972","N","N","N","Y",""
"100771","WEST TEXAS","TW Grey Wolf","M2","RPQ","R","200000",,,,"N","N","N","N","Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable"
"100772","WEST TEXAS","TW Grey Wolf Fuel","MQ","DPQ","D","11000","11000","0","11000","N","N","N","Y",""
"56774","SAN JUAN","TW STANDING ROCK I/C","MQ","DPQ","D","3000","3000","396","2604","N","N","N","Y",""
"500523","PANHANDLE","TW/ANG P3 OH SHOP FUEL","MQ","DPQ","D","1000","1000","0","1000","N","N","N","Y",""
"8143","PANHANDLE","TW/SEVEN M GAS SHERMAN COUNTY ITE","MQ","DPQ","D","30000","30000","0","30000","N","N","N","Y",""
"78003","W. THOREAU","TW/SGTC MOJAVE DEL.","MQ","DPQ","D","252000","252000","50598","201402","N","N","N","Y",""
"13300","WEST TEXAS","TW/WALTON FUEL DELIVERY","MQ","DPQ","D","1000","3000","10","2990","Y","N","N","Y",""
"500612","PANHANDLE","TW/WTG/HANSFORD CO I/C","MQ","DPQ","D","6000","6000","0","6000","N","N","N","Y",""
"500632","SAN JUAN","TWPL/TRANSCOLORADO BLANCO","MQ","DPQ","D","450000","100000","9197","90803","Y","N","N","Y",""
"500632","SAN JUAN","TWPL/TRANSCOLORADO BLANCO","M2","RPQ","R","450000","450000","44536","405464","Y","N","N","Y",""
"100727","WEST TEXAS","Targa Roadrunner","M2","RPQ","R","160000","160000","49900","110100","Y","N","N","Y",""
"100730","WEST TEXAS","Targa Wildcat","M2","RPQ","R","200000","200000","85505","114495","Y","N","N","Y",""
"100731","WEST TEXAS","Targa Wildcat Fuel","MQ","DPQ","D","8000","8000","0","8000","N","N","N","Y",""
"78464","W. THOREAU","UNS MOHAVE","MQ","DPQ","D","115000","115000","0","115000","N","N","N","Y",""
"78501","CENTRAL","VALENCIA","MQ","DPQ","D","25000","100000","0","100000","N","N","N","Y",""
"56423","SAN JUAN","VALVERDE PLANT","M2","RPQ","R","245000","0","0","0","N","N","N","Y",""
"13326","PANHANDLE","W A GREEN","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"10518","PANHANDLE","WEST TEXAS GAS PARMER","MQ","DPQ","D","12000","12000","0","12000","N","N","N","Y",""
"13475","WEST TEXAS","WEST TEXAS WATER SYSTEMS SALES","MQ","DPQ","D","2500","2500","2467","33","Y","N","N","Y",""
"9260","PANHANDLE","WEST TX GAS/TW  (ENERGAS) RANDALL CANYON","MQ","DPQ","D","3000","3000","1","2999","N","N","N","Y",""
"16540","WEST TEXAS","WEST TX GAS/TW  WINKLER WEST TEXAS","MQ","DPQ","D","5000","11000","2269","8731","Y","N","N","Y",""
"9259","PANHANDLE","WEST TX GAS/TW (ENERGAS) GRAY PAMPA","MQ","DPQ","D","3000","3000","8","2992","N","N","N","Y",""
"500535","SAN JUAN2","WFS IGNACIO PLANT I/C","M2","RPQ","R","300000","300000","30055","269945","Y","N","N","Y",""
"500516","SAN JUAN","WFS/KUTZ PLANT I/C","M2","RPQ","R","200000","100000","0","100000","N","N","N","Y",""
"13275","PANHANDLE","WILLIAM FROST","MQ","DPQ","D","2000","2000","0","2000","N","N","N","Y",""
"13317","PANHANDLE","WILLIAM THOMPSON","MQ","DPQ","D","3000","2000","0","2000","N","N","N","Y",""
"56419","SAN JUAN","WILLIAMS FIELD MILAGRO PLANT","M2","RPQ","R","450000","500000","198140","301860","Y","N","N","Y",""
"78387","W. THOREAU","WRIGHT FTP","MQ","DPQ","D","30","3000","0","3000","N","N","N","Y",""
"79062","PANHANDLE","WTG ADCOCK","MQ","DPQ","D","200","1000","0","1000","N","N","N","Y",""
"10792","PANHANDLE","WTG L K FARMS","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"10760","PANHANDLE","WTG LEROY JOHNSON","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"10794","PANHANDLE","WTG LEWIS DAVIS","MQ","DPQ","D","500","2000","0","2000","N","N","N","Y",""
"10782","PANHANDLE","WTG R. F. GORDON","MQ","DPQ","D",,"2000","0","2000","N","N","N","N","Design Capacity unavailable"
"78393","W. THOREAU","WYATT TAP","MQ","DPQ","D","10","5000","0","5000","N","N","N","Y",""
