Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason,date,cycle
78479,PHOENIX,CHINO VALLEY DELIVERY,MQ,DPQ,D,10000.0,10000.0,0.0,10000.0,N,N,N,Y,,01-17-2024,Timely
9198,PANHANDLE,CIG TUMBLEWEED REC CIG TW,M2,RPQ,R,40000.0,40000.0,20644.0,19356.0,Y,N,N,Y,,01-17-2024,Timely
78424,SAN JUAN,CONOCO BLANCO PLANT I/C,M2,RPQ,R,550000.0,550000.0,0.0,550000.0,N,N,N,Y,,01-17-2024,Timely
79003,PHOENIX,COOLIDGE PLANT,MQ,DPQ,D,144000.0,144000.0,0.0,144000.0,N,N,N,Y,,01-17-2024,Timely
78508,SAN JUAN,CORTO INTERCONNECT,MQ,DPQ,D,100000.0,100000.0,19811.0,80189.0,N,N,N,Y,,01-17-2024,Timely
79035,CENTRAL,COYOTE INTERCONNECT,MQ,DPQ,D,3500.0,3500.0,1300.0,2200.0,Y,N,N,Y,,01-17-2024,Timely
13323,PANHANDLE,D RITTENBERRY,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
56339,CENTRAL,DAGGER DRAW,M2,RPQ,R,55000.0,55000.0,52746.0,2254.0,N,N,N,Y,,01-17-2024,Timely
78477,PANHANDLE,DAIRICONCEPTS - ROOSEVELT,MQ,DPQ,D,6000.0,6000.0,1485.0,4515.0,N,N,N,Y,,01-17-2024,Timely
500018,PANHANDLE,DALEN ROHAN TAP,MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
78330,PANHANDLE,DAVID WINTER FTP,MQ,DPQ,D,500.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
10703,CENTRAL,DCP Artesia,M2,RPQ,R,43000.0,38000.0,24000.0,14000.0,Y,N,N,Y,,01-17-2024,Timely
79029,CENTRAL,DCP FUEL TAP EDDY,MQ,DPQ,D,1000.0,1500.0,197.0,1303.0,Y,N,N,Y,,01-17-2024,Timely
500262,WEST TEXAS,DCP HAT MESA,M2,RPQ,R,5000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
500255,WEST TEXAS,DCP Madera,M2,RPQ,R,5000.0,11000.0,0.0,11000.0,N,N,N,Y,,01-17-2024,Timely
79070,WEST TEXAS,DCP OCHOA I/C,MQ,DPQ,D,1000.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
500248,WEST TEXAS,DCP PURE GOLD,M2,RPQ,R,5000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
79069,CENTRAL,DCP ZIA II,M2,RPQ,R,125000.0,125000.0,56999.0,68001.0,Y,N,N,Y,,01-17-2024,Timely
78491,PHOENIX,DESERT BASIN PLANT,MQ,DPQ,D,210000.0,150000.0,0.0,150000.0,N,N,N,Y,,01-17-2024,Timely
78422,SAN JUAN,DJR - CHACO,M2,RPQ,R,30000.0,20000.0,0.0,20000.0,N,N,N,Y,,01-17-2024,Timely
13269,PANHANDLE,DOM PICKENS EFFIE M,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
12354,CENTRAL,DOMINION GAS/TULE LAKE INTERCONNECT,M2,RPQ,R,10000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
59927,CENTRAL,DUKE ZIA PLANT,M2,RPQ,R,40000.0,50000.0,0.0,50000.0,N,N,N,Y,,01-17-2024,Timely
13196,PANHANDLE,EAST SHAFFER #3 (FARM TAP),MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13199,CENTRAL,EASTERN NEW MEXICO ROOSEVELT,MQ,DPQ,D,10000.0,10000.0,419.0,9581.0,N,N,N,Y,,01-17-2024,Timely
9164,CENTRAL,EDDY PECOS DIAMOND PROC 12 INCH,MQ,DPQ,D,65000.0,69000.0,0.0,69000.0,N,N,N,Y,,01-17-2024,Timely
9166,CENTRAL,EDDY PECOS DIAMOND PROC 8 IN,MQ,DPQ,D,30000.0,30000.0,0.0,30000.0,N,N,N,Y,,01-17-2024,Timely
13260,PANHANDLE,EDNA L SCHULTE,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
500540,SAN JUAN2,EL PASO BLANCO I/C,MQ,DPQ,D,440000.0,440000.0,127410.0,312590.0,Y,N,N,Y,,01-17-2024,Timely
500179,W. THOREAU,EL PASO WINDOW ROCK,M2,RPQ,R,430000.0,430000.0,20135.0,409865.0,N,N,N,Y,,01-17-2024,Timely
79064,PANHANDLE,ENBRIDGE TRUNK E,M2,RPQ,R,100000.0,100000.0,14000.0,86000.0,Y,N,N,Y,,01-17-2024,Timely
57336,PANHANDLE,ENERGAS DEL-GRAY,MQ,DPQ,D,50000.0,10000.0,184.0,9816.0,Y,N,N,Y,,01-17-2024,Timely
53772,PANHANDLE,ENERGAS INTERCONNECT (STOCKER M M),MQ,DPQ,D,500.0,500.0,2.0,498.0,N,N,N,Y,,01-17-2024,Timely
9256,PANHANDLE,ENERGAS/TW  RONNIE MAHONEY,MQ,DPQ,D,,2.0,0.0,2.0,N,N,N,N,Design Capacity unavailable,01-17-2024,Timely
78423,SAN JUAN,ENTERPRISE CHACO PLANT I/C,M2,RPQ,R,250000.0,210000.0,99560.0,110440.0,Y,N,N,Y,,01-17-2024,Timely
78093,CENTRAL,ENTERPRISE EDDY,M2,RPQ,R,100000.0,100000.0,45893.0,54107.0,Y,N,N,Y,,01-17-2024,Timely
79075,WEST TEXAS,ENTERPRISE SOUTH EDDY,M2,RPQ,R,200000.0,200000.0,83536.0,116464.0,Y,N,N,Y,,01-17-2024,Timely
100703,WEST TEXAS,ENTERPRISE SOUTH EDDY FUEL,MQ,DPQ,D,10000.0,10000.0,0.0,10000.0,N,N,N,Y,,01-17-2024,Timely
500515,WEST TEXAS,ENTERPRISE WAHA PECOS,MQ,DPQ,D,180000.0,180000.0,79601.0,100399.0,N,N,N,Y,,01-17-2024,Timely
500515,WEST TEXAS,ENTERPRISE WAHA PECOS,M2,RPQ,R,150000.0,150000.0,77554.0,72446.0,Y,N,N,Y,,01-17-2024,Timely
56943,WEST TEXAS,ENTERPRISE WARD,MQ,DPQ,D,155000.0,155000.0,62162.0,92838.0,Y,N,N,Y,,01-17-2024,Timely
79063,WEST TEXAS,EOG PITCHFORK-DELIVERY,MQ,DPQ,D,10000.0,13500.0,10000.0,3500.0,Y,N,N,Y,,01-17-2024,Timely
500249,WEST TEXAS,EOG PRONGHORN,M2,RPQ,R,50000.0,50000.0,0.0,50000.0,N,N,N,Y,,01-17-2024,Timely
79072,WEST TEXAS,EOG RATTLESNAKE,MQ,DPQ,D,11720.0,13000.0,11000.0,2000.0,Y,N,N,Y,,01-17-2024,Timely
100757,WEST TEXAS,EOG Red Hills,MQ,DPQ,D,55000.0,55000.0,34000.0,21000.0,Y,N,N,Y,,01-17-2024,Timely
78269,WEST TEXAS,ETC BLK #16 FUEL,MQ,DPQ,D,1000.0,2000.0,1.0,1999.0,Y,N,N,Y,,01-17-2024,Timely
79087,WEST TEXAS,ETC HALLEY,M2,RPQ,R,90000.0,90000.0,54954.0,35046.0,Y,N,N,Y,,01-17-2024,Timely
100704,PANHANDLE,ETC ISAAC FUEL,MQ,DPQ,D,2000.0,2000.0,124.0,1876.0,Y,N,N,Y,,01-17-2024,Timely
1190,WEST TEXAS,ETC KEYSTONE WINKLER PLANT,M2,RPQ,R,95000.0,95000.0,0.0,95000.0,N,N,N,Y,,01-17-2024,Timely
100701,WEST TEXAS,ETC PYOTE FUEL,MQ,DPQ,D,2000.0,2000.0,700.0,1300.0,Y,N,N,Y,,01-17-2024,Timely
500607,WEST TEXAS,ETC PYOTE STATION  145,MQ,DPQ,D,1000.0,1000.0,250.0,750.0,Y,N,N,Y,,01-17-2024,Timely
100705,WEST TEXAS,ETC RED HILLS FUEL,MQ,DPQ,D,8000.0,8000.0,4713.0,3287.0,Y,N,N,Y,,01-17-2024,Timely
9109,WEST TEXAS,ETC WAHA DELIVERY,MQ,DPQ,D,22000.0,22000.0,0.0,22000.0,N,N,N,Y,,01-17-2024,Timely
9109,WEST TEXAS,ETC WAHA DELIVERY,M2,RPQ,R,30000.0,,,,N,N,N,N,Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable,01-17-2024,Timely
500392,WEST TEXAS,ETC WAHA FUEL (COMP 765),MQ,DPQ,D,270.0,3000.0,1.0,2999.0,Y,N,N,Y,,01-17-2024,Timely
78358,WEST TEXAS,ETC WALTON FUEL,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
13231,PANHANDLE,EZELL-CAFFEY (FARM TAP),MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
78449,CENTRAL,FEAGAN CHAVES,M2,RPQ,R,50000.0,5000.0,1000.0,4000.0,Y,N,N,Y,,01-17-2024,Timely
500046,W. THOREAU,FLAGSTAFF 89 NORTH,MQ,DPQ,D,20000.0,20000.0,0.0,20000.0,N,N,N,Y,,01-17-2024,Timely
500134,W. THOREAU,FLAGSTAFF DELIVERY POINT,MQ,DPQ,D,31000.0,31000.0,12984.0,18016.0,N,N,N,Y,,01-17-2024,Timely
500619,W. THOREAU,FOREST BRANCH,MQ,DPQ,D,250.0,2500.0,0.0,2500.0,N,N,N,Y,,01-17-2024,Timely
13291,PANHANDLE,FRANK SIMMS,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
10552,CENTRAL,FRONTIER MALJAMAR PLANT,M2,RPQ,R,75000.0,75000.0,40533.0,34467.0,Y,N,N,Y,,01-17-2024,Timely
13242,PANHANDLE,G MCCUISTION FARM TAP,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
100744,WEST TEXAS,GCX WAHA,MQ,DPQ,D,250000.0,250000.0,0.0,250000.0,N,N,N,Y,,01-17-2024,Timely
13472,PANHANDLE,GEORGE BROWN,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
78495,PHOENIX,GERMANN DELIVERY,MQ,DPQ,D,100000.0,100000.0,0.0,100000.0,N,N,N,Y,,01-17-2024,Timely
57773,SAN JUAN,GIANT INDUSTRIES I/C DELIVERY,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
50895,WEST TEXAS,GILA 4 DEEP COM #1,M2,RPQ,R,17000.0,17000.0,0.0,17000.0,N,N,N,Y,,01-17-2024,Timely
78480,PHOENIX,GILA RIVER PLANT,MQ,DPQ,D,485000.0,485000.0,153200.0,331800.0,N,N,N,Y,,01-17-2024,Timely
78489,PHOENIX,GRAND AVENUE DELIVERY,MQ,DPQ,D,35000.0,43800.0,7037.0,36763.0,N,N,N,Y,,01-17-2024,Timely
78069,W. THOREAU,GRIFFITH ENERGY DEL,MQ,DPQ,D,120000.0,120000.0,76165.0,43835.0,N,N,N,Y,,01-17-2024,Timely
13315,PANHANDLE,H SIMONS #1,MQ,DPQ,D,3000.0,3000.0,24.0,2976.0,N,N,N,Y,,01-17-2024,Timely
35350,PANHANDLE,HAGY M.M.,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13284,PANHANDLE,HAROLD D. BIGGS,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
13241,PANHANDLE,HAROLD R STEWART,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13322,PANHANDLE,HORN MCCLUE,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
58444,PANHANDLE,I.S.I. FARM TAP-PARMER,MQ,DPQ,D,5000.0,11000.0,2350.0,8650.0,N,N,N,Y,,01-17-2024,Timely
500239,CENTRAL,IACX BITTER LAKES,M2,RPQ,R,60000.0,59000.0,8200.0,50800.0,N,N,N,Y,,01-17-2024,Timely
500238,CENTRAL,IACX RED BLUFF,M2,RPQ,R,40000.0,45000.0,6573.0,38427.0,N,N,N,Y,,01-17-2024,Timely
56935,CENTRAL,INTEGRATED SERVICES DP-CHAVES,MQ,DPQ,D,3100.0,3100.0,2346.0,754.0,N,N,N,Y,,01-17-2024,Timely
79001,WEST TEXAS,INTREPID NORTH,MQ,DPQ,D,,3800.0,60.0,3740.0,Y,N,N,N,Design Capacity unavailable,01-17-2024,Timely
13268,PANHANDLE,J T ROGERS,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13274,PANHANDLE,J. D. KELLY,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13313,PANHANDLE,JACK SLOAN,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13255,PANHANDLE,JENKINS W. ESTATES,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13262,PANHANDLE,JOHN LAUAKE,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
79030,WEST TEXAS,JV RANCH,MQ,DPQ,D,100000.0,100000.0,0.0,100000.0,N,N,N,Y,,01-17-2024,Timely
79030,WEST TEXAS,JV RANCH,M2,RPQ,R,100000.0,100000.0,35571.0,64429.0,Y,N,N,Y,,01-17-2024,Timely
56659,W. THOREAU,KINGMAN INTERCONNECT,MQ,DPQ,D,18000.0,30000.0,0.0,30000.0,N,N,N,Y,,01-17-2024,Timely
78386,WEST TEXAS,KM KEYSTONE STORAGE,MQ,DPQ,D,150000.0,150000.0,0.0,150000.0,N,N,N,Y,,01-17-2024,Timely
78386,WEST TEXAS,KM KEYSTONE STORAGE,M2,RPQ,R,211000.0,211000.0,99980.0,111020.0,Y,N,N,Y,,01-17-2024,Timely
500048,PANHANDLE,KOTARA FARMS INC.,MQ,DPQ,D,500.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
13328,PANHANDLE,L LUSK,MQ,DPQ,D,3000.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
59330,PANHANDLE,LAKEVIEW/BARNETT FTP,MQ,DPQ,D,1000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13247,PANHANDLE,LAWRENCE MELCHER,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13250,PANHANDLE,LEON DAUGHERTY,MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
13273,PANHANDLE,M. J. NOEL,MQ,DPQ,D,3000.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
500537,SAN JUAN2,MAPCO FUEL-IGNACIO,MQ,DPQ,D,630.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
78440,WEST TEXAS,MARKWEST LINAM RANCH,MQ,DPQ,D,60000.0,0.0,0.0,0.0,N,N,N,Y,,01-17-2024,Timely
100737,CENTRAL,MARLAN PLANT,M2,RPQ,R,200000.0,200000.0,10000.0,190000.0,Y,N,N,Y,,01-17-2024,Timely
100741,CENTRAL,MARLAN PLANT FUEL,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
13288,PANHANDLE,MARY E. MCCRAY,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
79021,W. THOREAU,MERCATOR MINING,MQ,DPQ,D,20000.0,0.0,0.0,0.0,N,N,N,Y,,01-17-2024,Timely
79027,PHOENIX,MESQUITE PLANT,MQ,DPQ,D,230000.0,235000.0,0.0,235000.0,N,N,N,Y,,01-17-2024,Timely
13204,PANHANDLE,MILLS-FLEMING (FARM TAP),MQ,DPQ,D,500.0,2000.0,0.0,2000.0,N,N,N,Y,,01-17-2024,Timely
56696,W. THOREAU,MOJAVE TOPOCK,MQ,DPQ,D,345000.0,345000.0,0.0,345000.0,N,N,N,Y,,01-17-2024,Timely
100716,PANHANDLE,NANNETTE GARCIA,MQ,DPQ,D,3000.0,3000.0,1.0,2999.0,N,N,N,Y,,01-17-2024,Timely
78494,PHOENIX,NEW FLORENCE DELIVERY,MQ,DPQ,D,10000.0,10000.0,0.0,10000.0,N,N,N,Y,,01-17-2024,Timely
13306,PANHANDLE,NEW MEXICO NAT. GAS CARSON TAP,MQ,DPQ,D,500.0,5000.0,7.0,4993.0,N,N,N,Y,,01-17-2024,Timely
57538,PANHANDLE,NEW MEXICO NATURAL GAS,MQ,DPQ,D,3000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
6838,CENTRAL,NGPL EDDY COUNTY,MQ,DPQ,D,100000.0,0.0,0.0,0.0,N,N,N,Y,,01-17-2024,Timely
500085,CENTRAL,NMG  WINGATE TBS,MQ,DPQ,D,30000.0,30000.0,0.0,30000.0,N,N,N,Y,,01-17-2024,Timely
500084,CENTRAL,NMG BELEN TBS,MQ,DPQ,D,14000.0,14000.0,6934.0,7066.0,N,N,N,Y,,01-17-2024,Timely
56422,SAN JUAN,NMG BLOOMFIELD,MQ,DPQ,D,150000.0,165000.0,126983.0,38017.0,Y,N,N,Y,,01-17-2024,Timely
9238,CENTRAL,NMG CHAVES,MQ,DPQ,D,20000.0,20000.0,0.0,20000.0,N,N,N,Y,,01-17-2024,Timely
500097,CENTRAL,NMG CITY OF DEXTER DEL.,M2,RPQ,R,11000.0,,,,N,N,N,N,Total Scheduled Quantity unavailable;Operating Capacity unavailable;Operationally Available Capacity unavailable,01-17-2024,Timely
500097,CENTRAL,NMG CITY OF DEXTER DEL.,MQ,DPQ,D,30000.0,30000.0,0.0,30000.0,N,N,N,Y,,01-17-2024,Timely
78421,SAN JUAN,NMG CITY OF FARMINGTON I/C,MQ,DPQ,D,50000.0,50000.0,0.0,50000.0,N,N,N,Y,,01-17-2024,Timely
9236,PANHANDLE,NMG CURRY COUNTY,MQ,DPQ,D,22000.0,13000.0,3096.0,9904.0,Y,N,N,Y,,01-17-2024,Timely
79091,PANHANDLE,NMG FARWELL,MQ,DPQ,D,30000.0,30000.0,978.0,29022.0,N,N,N,Y,,01-17-2024,Timely
79092,WEST TEXAS,NMG MONUMENT,MQ,DPQ,D,30000.0,30000.0,17955.0,12045.0,N,N,N,Y,,01-17-2024,Timely
79041,SAN JUAN,NMG NAPI I/C,MQ,DPQ,D,1500.0,1500.0,0.0,1500.0,N,N,N,Y,,01-17-2024,Timely
60921,CENTRAL,NMG RIO PUERCO BI-DIR,MQ,DPQ,D,300000.0,300000.0,40040.0,259960.0,N,N,N,Y,,01-17-2024,Timely
60921,CENTRAL,NMG RIO PUERCO BI-DIR,M2,RPQ,R,160000.0,150000.0,0.0,150000.0,N,N,N,Y,,01-17-2024,Timely
58710,CENTRAL,NMG THOMPSON,MQ,DPQ,D,50000.0,50000.0,38156.0,11844.0,Y,N,N,Y,,01-17-2024,Timely
100746,WEST TEXAS,NMGC Potash,MQ,DPQ,D,5000.0,5000.0,450.0,4550.0,Y,N,N,Y,,01-17-2024,Timely
12510,PANHANDLE,NMNG/ WILLIE WICK FARMS TAP,MQ,DPQ,D,3000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
78041,PANHANDLE,NMNG/SHERMAN CO TAP #1,MQ,DPQ,D,5000.0,20000.0,0.0,20000.0,N,N,N,Y,,01-17-2024,Timely
78042,PANHANDLE,NMNG/SHERMAN CO TAP #2,MQ,DPQ,D,2000.0,3000.0,0.0,3000.0,N,N,N,Y,,01-17-2024,Timely
78362,PANHANDLE,NMNG/SHERMAN CO TAP #3,MQ,DPQ,D,1000.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
78407,PANHANDLE,NMNG/SHERMAN CO TAP #4,MQ,DPQ,D,5000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
61334,WEST TEXAS,NNG/TW ESTES WARD,MQ,DPQ,D,50000.0,55000.0,46988.0,8012.0,N,N,Y,Y,,01-17-2024,Timely
60667,PANHANDLE,NNG/TW GRAY ITE,MQ,DPQ,D,175000.0,200000.0,4282.0,195718.0,N,N,N,Y,,01-17-2024,Timely
60667,PANHANDLE,NNG/TW GRAY ITE,M2,RPQ,R,200000.0,150000.0,0.0,150000.0,N,N,N,Y,,01-17-2024,Timely
78451,PANHANDLE,NTG HUTCHINSON,MQ,DPQ,D,1000.0,1000.0,0.0,1000.0,N,N,N,Y,,01-17-2024,Timely
500383,W. THOREAU,NUCOR STEEL I/C,MQ,DPQ,D,5000.0,5000.0,1500.0,3500.0,N,N,N,Y,,01-17-2024,Timely
500533,SAN JUAN2,NWPL LA PLATA I/C,MQ,DPQ,D,40000.0,5000.0,0.0,5000.0,N,N,N,Y,,01-17-2024,Timely
500533,SAN JUAN2,NWPL LA PLATA I/C,M2,RPQ,R,300000.0,300000.0,0.0,300000.0,N,N,N,Y,,01-17-2024,Timely
8516,WEST TEXAS,OASIS BLOCK 16 - DEL,MQ,DPQ,D,150000.0,150000.0,0.0,150000.0,N,N,N,Y,,01-17-2024,Timely
